gene,counts
ANXA6,4657.0
KIFAP3,4654.0
ARID4B,4653.0
SV2A,4651.0
NUDC,4651.0
ARGLU1,4649.0
C11orf58,4649.0
CAMKV,4648.0
PSMA7,4642.0
SLC24A2,4641.0
SH3GL2,4641.0
SNRPD2,4636.0
SEPTIN8,4632.0
MAP9,4613.0
CNP,4590.0
CNBP,4579.0
SLC25A23,4559.0
GABRG2,4552.0
KIAA1109,4548.0
DTNA,4546.0
VAPA,4543.0
UBE2M,4542.0
ARPC2,4541.0
VTI1B,4538.0
ISCU,4526.0
AAK1,4518.0
CAP2,4513.0
R3HDM1,4512.0
LIMCH1,4504.0
MAGED1,4498.0
DDN,4495.0
AP2B1,4493.0
ZNF638,4493.0
HSPD1,4490.0
C4orf3,4489.0
COX7A2L,4481.0
TSPYL4,4479.0
FKBP8,4469.0
BNIP3L,4462.0
MAP7D2,4455.0
ACOT7,4455.0
PACSIN1,4451.0
FIS1,4448.0
ID2,4447.0
PTPRA,4441.0
SCG2,4440.0
PDZD4,4435.0
SPAG9,4435.0
ACSL3,4433.0
CFAP36,4433.0
NDUFB10,4431.0
SNHG29,4422.0
HSBP1,4414.0
RIMS2,4407.0
CD59,4400.0
MYL12B,4392.0
NSA2,4388.0
SRI,4380.0
DNM1L,4377.0
SAP18,4377.0
CDC42BPA,4375.0
ATP6V1D,4368.0
DGKZ,4366.0
NCOR1,4359.0
MXRA7,4353.0
RBX1,4349.0
ATP6V1C1,4347.0
ZCRB1,4346.0
WAC,4345.0
FAM3C,4343.0
ABAT,4341.0
MRPS21,4338.0
PCBP1,4327.0
FKBP1A,4320.0
GLS,4319.0
SCRN1,4318.0
SNCG,4318.0
SFPQ,4307.0
SECISBP2L,4305.0
SERBP1,4304.0
BAZ2B,4299.0
CTNNB1,4296.0
BMPR2,4296.0
HSPE1,4294.0
N4BP2L2,4280.0
HSPA9,4264.0
NBEA,4259.0
DYNC1I1,4258.0
PTPRZ1,4253.0
ANKRD11,4244.0
ATP5MC2,4238.0
MAP1LC3B,4227.0
UBE2D3,4226.0
CDK5R1,4224.0
SRSF11,4217.0
EPB41L2,4205.0
KIAA1549L,4202.0
SSB,4201.0
ATP6V1F,4200.0
GUCY1B1,4198.0
USP22,4193.0
TMX4,4191.0
NAP1L3,4190.0
TUBB4B,4188.0
ANKS1B,4179.0
RAD50,4176.0
NAP1L5,4173.0
UQCRFS1,4171.0
PNMA8A,4165.0
PHACTR1,4159.0
CABP1,4158.0
SPRYD3,4157.0
NUDT4,4151.0
SLU7,4150.0
ADD1,4149.0
RHOA,4147.0
CHGA,4143.0
SSBP3,4143.0
RBM25,4141.0
ZNF106,4134.0
RBM39,4117.0
HLF,4112.0
PPP2R5C,4112.0
TPR,4105.0
GLUD1,4100.0
ACSL6,4088.0
PDS5B,4083.0
SORT1,4083.0
MZT2A,4081.0
CCDC144A,4078.0
GRINA,4076.0
NFIA,4074.0
NDUFC1,4061.0
YPEL3,4060.0
POMP,4055.0
SERPINE2,4050.0
FRRS1L,4048.0
TOLLIP,4047.0
MICOS13,4038.0
ZBTB7A,4037.0
RALBP1,4037.0
NDUFS1,4028.0
PPP2R2C,4024.0
PSMC5,4023.0
SULT4A1,4022.0
NSMF,4022.0
LARP1,4007.0
CHD5,3999.0
SSX2IP,3997.0
ATP5PB,3996.0
PCNP,3996.0
HK1,3994.0
ATP6V0D1,3994.0
CHGB,3991.0
MYH10,3990.0
NAT8L,3990.0
BRWD1,3986.0
SEPTIN4,3986.0
NGEF,3977.0
PSMB4,3974.0
ELAVL3,3971.0
CAMKK2,3965.0
RAB3C,3964.0
CAMK1D,3963.0
PPP2R2B,3959.0
RIMS3,3957.0
TAOK1,3952.0
NCS1,3950.0
ELAVL4,3942.0
NCAM2,3941.0
ARPP21,3940.0
WASF3,3939.0
MAP4K4,3939.0
SLC6A1,3929.0
PFKP,3928.0
PHPT1,3924.0
STX1B,3895.0
FBXO2,3894.0
NAP1L2,3891.0
NUAK1,3886.0
SMARCA5,3883.0
ATRNL1,3882.0
ITSN1,3879.0
CISD1,3878.0
MTDH,3876.0
VPS35,3873.0
PHYHIPL,3869.0
RHEB,3869.0
ATCAY,3868.0
SLC4A10,3866.0
ERC2,3863.0
CUTA,3854.0
AGT,3850.0
PSMD1,3848.0
CBX3,3847.0
NDUFV1,3845.0
APOD,3845.0
SELENOH,3844.0
C1orf122,3839.0
KCNMA1,3838.0
PAFAH1B2,3838.0
TPD52,3835.0
HERC1,3834.0
RPH3A,3831.0
AP2S1,3827.0
RETREG2,3827.0
PCDH7,3825.0
ATP6V1H,3825.0
ITFG1,3821.0
BRK1,3821.0
TPRG1L,3819.0
PPM1K,3813.0
GRIN2B,3812.0
CAMK2G,3809.0
PTPRN,3806.0
H2AFV,3802.0
NDRG3,3789.0
TULP4,3788.0
VIM,3787.0
DDX6,3785.0
SRRM2,3783.0
EIF3K,3778.0
DDX1,3772.0
SHC3,3766.0
STUB1,3765.0
RGS5,3765.0
UQCRC1,3764.0
PEX5L,3757.0
KALRN,3755.0
ATXN10,3754.0
TCEAL3,3752.0
RCN2,3744.0
TAF1D,3743.0
ATP2B4,3736.0
PSMC1,3733.0
HMGCS1,3732.0
TRIM37,3728.0
RIMS1,3718.0
PKP4,3715.0
POLR2L,3710.0
C11orf87,3704.0
RSRC2,3702.0
NDUFA8,3701.0
ATL1,3697.0
GADD45GIP1,3697.0
CDC42,3692.0
PPP1R9A,3691.0
HMGN2,3690.0
MGLL,3690.0
CXXC5,3686.0
PRDX6,3686.0
THRA,3682.0
PRMT2,3681.0
BLOC1S1,3680.0
TCF25,3668.0
C1QTNF4,3668.0
RTF1,3662.0
METRN,3659.0
MDH2,3653.0
MAPK9,3651.0
ARNT2,3646.0
CDKL5,3645.0
CCND2,3644.0
KHDRBS3,3636.0
ARID4A,3633.0
SPOCK2,3632.0
PET100,3623.0
CEP290,3623.0
H2AFZ,3622.0
BSN,3622.0
PCDH10,3621.0
NDFIP2,3616.0
SOX2-OT,3614.0
NSD3,3610.0
ATP5F1C,3604.0
TSC22D4,3599.0
PDP1,3595.0
NFIB,3590.0
PDXK,3589.0
TRAPPC5,3589.0
CRYM,3588.0
DPP6,3585.0
CHMP4B,3583.0
ARHGEF12,3582.0
FAM217B,3580.0
U2SURP,3575.0
PCDH17,3575.0
EFR3A,3570.0
RAB7A,3570.0
CXCL14,3566.0
OAT,3565.0
STMN4,3563.0
UBL3,3562.0
TBCB,3556.0
VXN,3555.0
TUBB2B,3554.0
EEA1,3554.0
CDC42SE2,3552.0
EPB41L1,3539.0
POLR2I,3535.0
NDUFB11,3531.0
CCSER2,3530.0
NDUFAF8,3526.0
ARPC3,3520.0
MRTFB,3520.0
BTF3,3512.0
GSTP1,3512.0
OXCT1,3512.0
ELOC,3511.0
UNC13A,3509.0
KCNAB2,3505.0
SYNJ1,3505.0
AZIN1,3505.0
GABRB3,3504.0
ZNF91,3504.0
PITHD1,3503.0
BLCAP,3500.0
KIAA0513,3495.0
SLC25A5,3491.0
PNMA8B,3491.0
SYT13,3489.0
NDUFB5,3488.0
DNM3,3485.0
CTNNA2,3484.0
SNN,3478.0
SRSF5,3477.0
TMEM30A,3475.0
CAPNS1,3468.0
SH3BGRL,3468.0
HBB,3466.0
NEBL,3462.0
SBDS,3462.0
TGOLN2,3461.0
ATP5MC1,3460.0
PIP4K2B,3460.0
RAB1A,3458.0
OGFRL1,3458.0
MPRIP,3457.0
CLDND1,3457.0
BCAP31,3456.0
CCDC91,3452.0
ANKRD17,3449.0
TCEAL7,3444.0
EPB41L3,3443.0
PPP3R1,3441.0
NRSN1,3436.0
UBXN4,3431.0
NENF,3431.0
MYL6B,3430.0
DAZAP2,3427.0
NECAP1,3423.0
NDUFB6,3422.0
CLTB,3417.0
HSPA12A,3415.0
DCTN2,3414.0
FMNL2,3413.0
UBE2QL1,3413.0
LANCL1,3403.0
HACD3,3401.0
RPRD1A,3401.0
IDI1,3401.0
RFPL1S,3398.0
PSMB7,3398.0
ARFGEF3,3398.0
CEP170,3397.0
AGAP3,3396.0
STARD7,3390.0
ROMO1,3387.0
VDAC2,3383.0
RAB11A,3381.0
TXNL4A,3380.0
SELENOM,3380.0
NAPA,3374.0
GDA,3374.0
MAP2K1,3374.0
NRXN3,3370.0
OPCML,3368.0
HOOK3,3368.0
GMFB,3367.0
EIF3J,3367.0
METAP2,3366.0
KPNB1,3365.0
KMT2A,3363.0
OLA1,3363.0
RDX,3362.0
ARMCX3,3362.0
NEFH,3362.0
SATB1,3360.0
PSMD7,3358.0
RYR2,3358.0
ARHGEF9,3357.0
SGTB,3352.0
ARL8B,3352.0
AKAP6,3352.0
TOP2B,3351.0
EIF1B,3347.0
MRPL33,3345.0
CSNK1A1,3345.0
PRKCZ,3343.0
SQSTM1,3342.0
KIDINS220,3342.0
NPDC1,3335.0
SEC11C,3331.0
SLTM,3331.0
CCT4,3330.0
CLIP1,3328.0
MEF2A,3326.0
MAP1LC3A,3325.0
SYNGR1,3325.0
CBX6,3325.0
YPEL5,3320.0
ASPH,3313.0
FUT9,3312.0
RIF1,3309.0
JPH4,3309.0
ADD2,3308.0
FRA10AC1,3306.0
NUDCD3,3303.0
DUSP3,3302.0
NDUFV2,3297.0
B3GAT1,3292.0
GNG2,3287.0
DEK,3287.0
CAPZA2,3284.0
UQCRC2,3284.0
TIMP2,3283.0
HDDC2,3282.0
MPC2,3282.0
MAP7D1,3276.0
CCDC25,3275.0
STAU2,3274.0
IGFBP7,3266.0
CADPS,3266.0
UBE3A,3263.0
SAT1,3263.0
ALDH6A1,3259.0
SYNGR3,3256.0
BCAP29,3256.0
SUMO3,3256.0
PHF3,3255.0
NHP2,3254.0
HNRNPM,3252.0
ANAPC11,3252.0
NDUFS6,3251.0
SLC6A17,3250.0
GUCY1A2,3250.0
PRDM2,3238.0
DLG2,3237.0
SRRM1,3234.0
CSRNP3,3231.0
LONRF2,3230.0
PRRC2B,3228.0
HNRNPD,3222.0
DNAJB14,3216.0
NPEPPS,3215.0
TMEM59,3214.0
LINGO1,3212.0
GLO1,3210.0
COX17,3209.0
DZIP3,3209.0
UBE2N,3209.0
CRIP2,3207.0
YTHDC1,3207.0
UNC80,3205.0
METTL7A,3204.0
NREP,3204.0
ZBTB18,3201.0
FXYD1,3199.0
DBNDD2,3199.0
SH3BGRL3,3198.0
FHL1,3197.0
NFE2L1,3196.0
FBXO9,3195.0
NLK,3195.0
ATXN7L3B,3193.0
ELMOD1,3191.0
COPRS,3190.0
RBFOX2,3187.0
MT-ND6,3186.0
TTC1,3177.0
ADGRB2,3174.0
APBA2,3173.0
LAMTOR4,3171.0
C1orf43,3167.0
NME1,3166.0
LZTS3,3165.0
ERLEC1,3165.0
MFSD6,3160.0
KIAA2026,3159.0
XRCC6,3158.0
GPRASP1,3158.0
HCFC1R1,3156.0
C19orf53,3151.0
WDR82,3150.0
PSMC3,3150.0
ZRANB2,3149.0
GPBP1,3149.0
RBM26,3146.0
CMAS,3145.0
FAM49A,3144.0
CDK2AP1,3143.0
AMPH,3133.0
NCOA1,3133.0
COX20,3132.0
COX7A1,3132.0
GSTM3,3131.0
SENP6,3129.0
OTUD6B-AS1,3127.0
HTATSF1,3127.0
PCP4,3126.0
GABRD,3125.0
SEPTIN2,3125.0
UBQLN1,3123.0
PURA,3123.0
ANKRD36C,3122.0
CHD9,3121.0
USP11,3117.0
VDAC3,3114.0
