cell_id,sample_id,technology,x_centroid,y_centroid,predicted_celltype,max_celltype_score
aaklbkan-1,Br2039,Xenium,283.3656311035156,1199.2716064453125,Unknown,0.0
aaklnfcl-1,Br2039,Xenium,296.9874572753906,1224.29248046875,Astrocyte,1.9304872751235962
aakpipna-1,Br2039,Xenium,288.9368896484375,1217.3060302734375,Unknown,0.0
aakpkifn-1,Br2039,Xenium,275.41558837890625,1212.020263671875,Astrocyte,1.756865382194519
aalbklnl-1,Br2039,Xenium,315.3719787597656,1185.2806396484375,Endothelial,1.740559458732605
aalcjjkk-1,Br2039,Xenium,327.3715515136719,1213.5726318359375,Astrocyte,3.315704584121704
aalelbmf-1,Br2039,Xenium,318.4466552734375,1203.3724365234375,Astrocyte,1.6044727563858032
aalglncd-1,Br2039,Xenium,315.57647705078125,1193.429443359375,Endothelial,3.389573335647583
aalhipgi-1,Br2039,Xenium,305.983154296875,1195.2987060546875,Endothelial,3.913146495819092
aaljhijm-1,Br2039,Xenium,306.7146911621094,1181.760986328125,Endothelial,1.7074147462844849
aalknbgd-1,Br2039,Xenium,323.3320617675781,1177.3997802734375,Endothelial,1.9010552167892456
aallblop-1,Br2039,Xenium,306.48101806640625,1175.9808349609375,Astrocyte,1.6512041091918945
aalmafgg-1,Br2039,Xenium,292.31170654296875,1177.0859375,Endothelial,5.0796966552734375
aalmilll-1,Br2039,Xenium,292.1722106933594,1185.330322265625,Astrocyte,1.6278479099273682
aalmoakl-1,Br2039,Xenium,273.8860168457031,1185.9639892578125,Astrocyte,1.656274676322937
aalnjpjc-1,Br2039,Xenium,299.781005859375,1183.369873046875,Unknown,0.0
aalophpk-1,Br2039,Xenium,351.3410339355469,1194.6868896484375,Astrocyte,4.606442928314209
aamdpcmf-1,Br2039,Xenium,341.20452880859375,1205.2857666015625,Endothelial,4.08799934387207
aamecdid-1,Br2039,Xenium,348.4756774902344,1210.9654541015625,Astrocyte,2.594019651412964
aamfipin-1,Br2039,Xenium,350.36328125,1202.1875,Endothelial,4.498325347900391
aamfnnpn-1,Br2039,Xenium,346.17108154296875,1195.738525390625,Microglia,2.6450295448303223
aamgambj-1,Br2039,Xenium,424.1304931640625,1222.5250244140625,Astrocyte,4.294965744018555
aamghief-1,Br2039,Xenium,429.07098388671875,1235.0404052734375,Astrocyte,2.465848922729492
aamlifac-1,Br2039,Xenium,416.9598388671875,1216.7021484375,Endothelial,2.63572096824646
aammphmg-1,Br2039,Xenium,418.1554260253906,1198.4130859375,Astrocyte,2.1629059314727783
aanaicnn-1,Br2039,Xenium,414.4440002441406,1208.623046875,Endothelial,4.135798931121826
aanbbfie-1,Br2039,Xenium,387.9809875488281,1204.537841796875,Endothelial,4.0970306396484375
aandeeko-1,Br2039,Xenium,397.8296203613281,1205.5220947265625,Endothelial,3.3912301063537598
aanenalc-1,Br2039,Xenium,406.29400634765625,1217.5543212890625,Astrocyte,3.5259647369384766
aangfomf-1,Br2039,Xenium,398.3108215332031,1215.7962646484375,Endothelial,1.8085827827453613
aangpjdd-1,Br2039,Xenium,408.1800842285156,1199.3604736328125,Endothelial,1.777318000793457
aangpjpo-1,Br2039,Xenium,371.71636962890625,1219.16748046875,Astrocyte,3.565701723098755
aanhlhmh-1,Br2039,Xenium,381.63287353515625,1216.2977294921875,Astrocyte,2.1893866062164307
aaniaadl-1,Br2039,Xenium,381.20220947265625,1201.373291015625,Endothelial,3.264918327331543
aankbpck-1,Br2039,Xenium,373.5028991699219,1206.407470703125,Microglia,3.7174158096313477
